instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
1,2011-01-01,1,0,1,0,5,0,1,0.0779,0.0875,0.4235,0.2204,292,605,897
2,2011-01-02,1,0,1,1,6,0,1,0.0573,0.0301,0.3939,0.3418,403,1013,1416
3,2011-01-03,1,0,1,0,0,1,2,0.0824,0.0776,0.4365,0.064,585,1479,2064
4,2011-01-04,1,0,1,0,1,1,1,0.0543,0.0405,0.7366,0.2341,549,1786,2335
5,2011-01-05,1,0,1,0,2,1,2,0.0581,0.0911,0.5282,0.3593,637,1904,2541
6,2011-01-06,1,0,1,0,3,1,1,0.1504,0.0718,0.7502,0.4859,372,1229,1601
7,2011-01-07,1,0,1,0,4,1,2,0.1586,0.1933,0.4936,0.4501,487,1663,2150
8,2011-01-08,1,0,1,0,5,0,2,0.1189,0.119,0.5196,0.2042,310,675,985
9,2011-01-09,1,0,1,0,6,0,3,0.1326,0.0824,0.489,0.1692,347,914,1261
10,2011-01-10,1,0,1,0,0,1,1,0.1331,0.1674,0.6738,0.5806,481,1585,2066
11,2011-01-11,1,0,1,0,1,1,1,0.2188,0.245,0.5445,0.4541,451,1496,1947
12,2011-01-12,1,0,1,0,2,1,2,0.1613,0.1681,0.6694,0.3918,640,1846,2486
13,2011-01-13,1,0,1,0,3,1,2,0.1644,0.2009,0.434,0.4321,532,1713,2245
14,2011-01-14,1,0,1,0,4,1,2,0.077,0.1059,0.6494,0.2141,507,1666,2173
15,2011-01-15,1,0,1,0,5,0,1,0.0632,0.0621,0.2882,0.1897,478,1090,1568
16,2011-01-16,1,0,1,0,6,0,1,0.1164,0.1228,0.2852,0.4115,538,1182,1720
17,2011-01-17,1,0,1,0,0,1,1,0.1787,0.1606,0.5052,0.4785,551,1503,2054
18,2011-01-18,1,0,1,0,1,1,1,0.0585,0.0439,0.7323,0.4207,464,1603,2067
19,2011-01-19,1,0,1,0,2,1,1,0.2529,0.3082,0.5527,0.4987,550,1285,1835
20,2011-01-20,1,0,1,0,3,1,1,0.1176,0.1706,0.503,0.5974,451,1342,1793
21,2011-01-21,1,0,1,0,4,1,1,0.1325,0.1045,0.3499,0.3587,646,1512,2158
22,2011-01-22,1,0,1,0,5,0,1,0.179,0.185,0.3596,0.3465,662,1630,2292
23,2011-01-23,1,0,1,0,6,0,3,0.1092,0.1154,0.6473,0.2001,481,964,1445
24,2011-01-24,1,0,1,0,0,1,1,0.1773,0.1998,0.7753,0.0568,557,1413,1970
25,2011-01-25,1,0,1,0,1,1,1,0.1215,0.1472,0.5424,0.4299,555,1983,2538
26,2011-01-26,1,0,1,0,2,1,2,0.1668,0.1665,0.6728,0.4572,639,1817,2456
27,2011-01-27,1,0,1,0,3,1,1,0.1614,0.1876,0.6729,0.1029,450,1008,1458
28,2011-01-28,1,0,1,0,4,1,1,0.1333,0.1429,0.3476,0.3104,570,1668,2238
29,2011-01-29,1,0,1,0,5,0,1,0.1572,0.1588,0.6727,0.2767,518,903,1421
30,2011-01-30,1,0,1,0,6,0,1,0.1727,0.109,0.689,0.2523,671,1325,1996
31,2011-01-31,1,0,1,0,0,1,3,0.1483,0.1153,0.5484,0.0269,509,1620,2129
32,2011-02-01,1,0,2,0,1,1,3,0.2406,0.2271,0.7285,0.4425,529,1291,1820
33,2011-02-02,1,0,2,1,2,0,1,0.2335,0.2681,0.5903,0.393,396,773,1169
34,2011-02-03,1,0,2,0,3,1,1,0.2181,0.2632,0.404,0.315,603,1732,2335
35,2011-02-04,1,0,2,0,4,1,1,0.2811,0.2379,0.4944,0.0953,663,2008,2671
36,2011-02-05,1,0,2,0,5,0,1,0.2012,0.1853,0.5888,0.2434,448,1186,1634
37,2011-02-06,1,0,2,0,6,0,2,0.2676,0.249,0.3501,0.6346,507,1351,1858
38,2011-02-07,1,0,2,0,0,1,1,0.2734,0.2696,0.4806,0.2157,560,1431,1991
39,2011-02-08,1,0,2,0,1,1,2,0.1813,0.1812,0.6225,0.2651,428,1100,1528
40,2011-02-09,1,0,2,0,2,1,1,0.2314,0.2118,0.5439,0.1436,550,1690,2240
41,2011-02-10,1,0,2,0,3,1,1,0.2387,0.2537,0.212,0.5725,368,1436,1804
42,2011-02-11,1,0,2,0,4,1,1,0.1488,0.1727,0.3315,0.2785,517,1513,2030
43,2011-02-12,1,0,2,0,5,0,1,0.2636,0.1894,0.3843,0.2352,639,1393,2032
44,2011-02-13,1,0,2,0,6,0,1,0.2091,0.1995,0.4495,0.1603,307,1195,1502
45,2011-02-14,1,0,2,0,0,1,1,0.1828,0.1926,0.3798,0.2627,584,1645,2229
46,2011-02-15,1,0,2,0,1,1,1,0.2733,0.2758,0.3975,0.4446,599,1844,2443
47,2011-02-16,1,0,2,0,2,1,2,0.1974,0.2235,0.8085,0.2896,620,1725,2345
48,2011-02-17,1,0,2,0,3,1,1,0.234,0.3133,0.4708,0.4612,486,1554,2040
49,2011-02-18,1,0,2,0,4,1,2,0.3193,0.2897,0.2591,0.2483,430,1329,1759
50,2011-02-19,1,0,2,0,5,0,1,0.2135,0.2324,0.7195,0.1203,544,1405,1949
51,2011-02-20,1,0,2,0,6,0,2,0.1328,0.1247,0.3631,0.3721,512,1235,1747
52,2011-02-21,1,0,2,0,0,1,1,0.3535,0.3203,0.8973,0.0989,540,1598,2138
53,2011-02-22,1,0,2,0,1,1,1,0.1587,0.1867,0.7074,0.1545,454,1678,2132
54,2011-02-23,1,0,2,0,2,1,1,0.2657,0.2375,0.498,0.2462,488,986,1474
55,2011-02-24,1,0,2,0,3,1,1,0.1842,0.1375,0.4354,0.0196,504,1581,2085
56,2011-02-25,1,0,2,0,4,1,1,0.3328,0.3529,0.4743,0.092,430,1381,1811
57,2011-02-26,1,0,2,0,5,0,2,0.2609,0.2686,0.7167,0.3035,292,524,816
58,2011-02-27,1,0,2,0,6,0,1,0.1533,0.1707,0.399,0.5821,497,1192,1689
59,2011-02-28,1,0,2,0,0,1,1,0.149,0.2258,0.5307,0.1617,556,1473,2029
60,2011-03-01,1,0,3,0,1,1,2,0.2956,0.3235,0.1915,0.1022,617,1856,2473
61,2011-03-02,1,0,3,0,2,1,2,0.4031,0.401,0.2235,0.2446,507,1597,2104
62,2011-03-03,1,0,3,0,3,1,2,0.3267,0.3533,0.2776,0.0751,459,1699,2158
63,2011-03-04,1,0,3,0,4,1,1,0.4022,0.4102,0.5181,0.1806,588,1270,1858
64,2011-03-05,1,0,3,0,5,0,2,0.2659,0.2132,0.3142,0.1976,245,667,912
65,2011-03-06,1,0,3,0,6,0,3,0.3841,0.4137,0.266,0.11,534,1299,1833
66,2011-03-07,1,0,3,0,0,1,1,0.3778,0.3591,0.4601,0.3242,531,1601,2132
67,2011-03-08,1,0,3,0,1,1,1,0.3148,0.3612,0.7123,0.2994,597,1748,2345
68,2011-03-09,1,0,3,0,2,1,1,0.3942,0.3657,0.3982,0.087,469,1255,1724
69,2011-03-10,1,0,3,0,3,1,2,0.3966,0.4093,0.4671,0.2745,455,1464,1919
70,2011-03-11,1,0,3,0,4,1,2,0.3747,0.3756,0.5458,0.0565,408,1308,1716
71,2011-03-12,1,0,3,0,5,0,2,0.3769,0.3783,0.7804,0.2535,456,854,1310
72,2011-03-13,1,0,3,0,6,0,1,0.3983,0.3815,0.5575,0.0443,360,935,1295
73,2011-03-14,1,0,3,0,0,1,1,0.3994,0.4067,0.458,0.1895,647,1975,2622
74,2011-03-15,1,0,3,0,1,1,2,0.3145,0.2944,0.5355,0.3434,614,1744,2358
75,2011-03-16,1,0,3,0,2,1,1,0.3804,0.3863,0.6966,0.4103,507,1430,1937
76,2011-03-17,1,0,3,0,3,1,1,0.3183,0.3481,0.4702,0.666,576,1633,2209
77,2011-03-18,1,0,3,0,4,1,1,0.3214,0.3213,0.3048,0.6322,477,1606,2083
78,2011-03-19,1,0,3,0,5,0,1,0.3994,0.4181,0.494,0.4901,482,955,1437
79,2011-03-20,1,0,3,0,6,0,2,0.3975,0.4598,0.4598,0.4121,431,1224,1655
80,2011-03-21,1,0,3,0,0,1,1,0.3033,0.3259,0.3049,0.4419,340,1044,1384
81,2011-03-22,1,0,3,0,1,1,2,0.4501,0.4824,0.7012,0.1485,399,1364,1763
82,2011-03-23,1,0,3,0,2,1,2,0.3662,0.3574,0.2977,0.0237,548,1745,2293
83,2011-03-24,1,0,3,0,3,1,1,0.2877,0.2737,0.7271,0.4808,466,1667,2133
84,2011-03-25,1,0,3,0,4,1,1,0.3081,0.3237,0.4626,0.2126,472,1534,2006
85,2011-03-26,1,0,3,0,5,0,3,0.3156,0.3376,0.5617,0.2523,510,736,1246
86,2011-03-27,1,0,3,0,6,0,1,0.3064,0.3185,0.32,0.3763,483,1278,1761
87,2011-03-28,1,0,3,0,0,1,1,0.4502,0.4562,0.5892,0.463,662,1851,2513
88,2011-03-29,1,0,3,0,1,1,4,0.4003,0.3927,0.3902,0.0932,410,1235,1645
89,2011-03-30,1,0,3,0,2,1,1,0.3369,0.3317,0.6606,0.1341,584,1525,2109
90,2011-03-31,1,0,3,0,3,1,1,0.2375,0.2171,0.3886,0.2168,735,2131,2866
91,2011-04-01,2,0,4,0,4,1,2,0.5038,0.5265,0.5538,0.4511,710,2233,2943
92,2011-04-02,2,0,4,0,5,0,1,0.5507,0.5739,0.634,0.1054,747,2040,2787
93,2011-04-03,2,0,4,0,6,0,1,0.4712,0.475,0.3279,0.2751,601,1540,2141
94,2011-04-04,2,0,4,0,0,1,2,0.5151,0.4983,0.76,0.7245,771,2345,3116
95,2011-04-05,2,0,4,0,1,1,1,0.5562,0.5394,0.2985,0.4305,659,2029,2688
96,2011-04-06,2,0,4,0,2,1,1,0.42,0.3986,0.4522,0.1344,915,2206,3121
97,2011-04-07,2,0,4,0,3,1,2,0.4133,0.4635,0.5358,0.2475,816,2382,3198
98,2011-04-08,2,0,4,0,4,1,2,0.5407,0.5043,0.4276,0.4724,798,2354,3152
99,2011-04-09,2,0,4,0,5,0,2,0.4215,0.3948,0.4421,0.285,856,2020,2876
100,2011-04-10,2,0,4,0,6,0,2,0.4749,0.4774,0.426,0.5024,749,1744,2493
101,2011-04-11,2,0,4,0,0,1,2,0.4637,0.4697,0.752,0.0144,815,2257,3072
102,2011-04-12,2,0,4,0,1,1,1,0.4427,0.4145,0.4237,0.1302,777,2270,3047
103,2011-04-13,2,0,4,0,2,1,3,0.4468,0.4345,0.5428,0.3408,655,1834,2489
104,2011-04-14,2,0,4,0,3,1,1,0.5894,0.5484,0.3501,0.219,734,2352,3086
105,2011-04-15,2,0,4,0,4,1,1,0.4253,0.4244,0.1291,0.1076,580,1741,2321
106,2011-04-16,2,0,4,0,5,0,2,0.3612,0.3411,0.7853,0.2106,900,2006,2906
107,2011-04-17,2,0,4,0,6,0,2,0.443,0.448,0.3456,0.222,772,1489,2261
108,2011-04-18,2,0,4,0,0,1,2,0.4086,0.3772,0.5276,0.1297,857,2611,3468
109,2011-04-19,2,0,4,0,1,1,1,0.5071,0.5438,0.4254,0.3084,728,2171,2899
110,2011-04-20,2,0,4,0,2,1,1,0.4645,0.4331,0.2072,0.2664,805,2187,2992
111,2011-04-21,2,0,4,0,3,1,2,0.5169,0.4925,0.6412,0.1006,763,2389,3152
112,2011-04-22,2,0,4,0,4,1,1,0.5039,0.541,0.2887,0.2623,886,2468,3354
113,2011-04-23,2,0,4,0,5,0,1,0.4625,0.4619,0.695,0.5085,917,1847,2764
114,2011-04-24,2,0,4,0,6,0,2,0.4195,0.4155,0.6828,0.1632,602,1463,2065
115,2011-04-25,2,0,4,0,0,1,1,0.5591,0.5365,0.6844,0.6147,1008,2813,3821
116,2011-04-26,2,0,4,0,1,1,2,0.5228,0.5462,0.3223,0.5239,799,2354,3153
117,2011-04-27,2,0,4,0,2,1,1,0.499,0.458,0.4578,0.1928,768,2566,3334
118,2011-04-28,2,0,4,0,3,1,1,0.4924,0.4967,0.1979,0.2508,877,2817,3694
119,2011-04-29,2,0,4,0,4,1,1,0.52,0.5434,0.6719,0.3051,657,2185,2842
120,2011-04-30,2,0,4,0,5,0,1,0.4639,0.4914,0.4643,0.2521,715,1517,2232
121,2011-05-01,2,0,5,0,6,0,1,0.5789,0.5815,0.5657,0.5116,708,1425,2133
122,2011-05-02,2,0,5,0,0,1,3,0.6872,0.6388,0.6682,0.1279,946,2822,3768
123,2011-05-03,2,0,5,0,1,1,1,0.5855,0.6398,0.592,0.0989,725,2301,3026
124,2011-05-04,2,0,5,0,2,1,1,0.5694,0.55,0.2912,0.1793,857,2388,3245
125,2011-05-05,2,0,5,0,3,1,1,0.5178,0.5177,0.5549,0.0456,890,2642,3532
126,2011-05-06,2,0,5,0,4,1,1,0.5569,0.5715,0.3137,0.2467,688,2299,2987
127,2011-05-07,2,0,5,0,5,0,1,0.5297,0.5358,0.4944,0.3079,660,1586,2246
128,2011-05-08,2,0,5,0,6,0,1,0.5532,0.5705,0.633,0.2078,877,1816,2693
129,2011-05-09,2,0,5,0,0,1,1,0.5619,0.4947,0.339,0.2131,895,2282,3177
130,2011-05-10,2,0,5,0,1,1,2,0.6287,0.6408,0.4554,0.1792,857,2265,3122
131,2011-05-11,2,0,5,0,2,1,2,0.4697,0.4735,0.7546,0.3079,827,2258,3085
132,2011-05-12,2,0,5,0,3,1,1,0.574,0.6072,0.4573,0.274,832,2368,3200
133,2011-05-13,2,0,5,0,4,1,2,0.6109,0.5951,0.6166,0.1328,618,1755,2373
134,2011-05-14,2,0,5,0,5,0,1,0.6055,0.634,0.594,0.228,736,1898,2634
135,2011-05-15,2,0,5,0,6,0,1,0.5798,0.599,0.3203,0.5263,913,2440,3353
136,2011-05-16,2,0,5,0,0,1,2,0.654,0.6562,0.3251,0.4183,757,2267,3024
137,2011-05-17,2,0,5,0,1,1,1,0.4561,0.4432,0.4415,0.0534,709,2114,2823
138,2011-05-18,2,0,5,0,2,1,2,0.5905,0.6724,0.5633,0.1266,827,2227,3054
139,2011-05-19,2,0,5,0,3,1,1,0.5339,0.4798,0.2353,0.4759,715,2111,2826
140,2011-05-20,2,0,5,0,4,1,1,0.5221,0.5129,0.7045,0.3593,776,2697,3473
141,2011-05-21,2,0,5,0,5,0,2,0.6045,0.5861,0.5339,0.3188,694,1721,2415
142,2011-05-22,2,0,5,0,6,0,1,0.4685,0.4905,0.4572,0.6232,827,1746,2573
143,2011-05-23,2,0,5,0,0,1,2,0.5909,0.5869,0.7946,0.5643,830,2693,3523
144,2011-05-24,2,0,5,0,1,1,2,0.5183,0.5054,0.5246,0.3103,716,2084,2800
145,2011-05-25,2,0,5,0,2,1,1,0.5434,0.5292,0.5102,0.4573,734,2417,3151
146,2011-05-26,2,0,5,0,3,1,1,0.5618,0.5687,0.4298,0.1458,729,2583,3312
147,2011-05-27,2,0,5,0,4,1,2,0.579,0.525,0.5956,0.0995,741,1719,2460
148,2011-05-28,2,0,5,0,5,0,1,0.5811,0.6081,0.5773,0.3147,892,1751,2643
149,2011-05-29,2,0,5,1,6,0,2,0.5805,0.5992,0.4706,0.0973,828,2020,2848
150,2011-05-30,2,0,5,0,0,1,2,0.5785,0.5059,0.7645,0.4842,852,2584,3436
151,2011-05-31,2,0,5,0,1,1,1,0.6167,0.6364,0.3312,0.2637,687,2275,2962
152,2011-06-01,2,0,6,0,2,1,1,0.5732,0.5989,0.4788,0.2619,728,2059,2787
153,2011-06-02,2,0,6,0,3,1,1,0.5988,0.5785,0.4709,0.2405,820,2380,3200
154,2011-06-03,2,0,6,0,4,1,2,0.591,0.5935,0.5676,0.4718,785,2077,2862
155,2011-06-04,2,0,6,0,5,0,2,0.5934,0.5952,0.6341,0.1607,674,1489,2163
156,2011-06-05,2,0,6,0,6,0,1,0.6422,0.659,0.3852,0.114,762,1875,2637
157,2011-06-06,2,0,6,0,0,1,1,0.6008,0.5909,0.6218,0.358,751,2221,2972
158,2011-06-07,2,0,6,0,1,1,1,0.5887,0.6114,0.3035,0.4388,748,2055,2803
159,2011-06-08,2,0,6,0,2,1,2,0.5858,0.5816,0.8187,0.4295,646,2174,2820
160,2011-06-09,2,0,6,0,3,1,2,0.5802,0.5946,0.265,0.2648,911,2678,3589
161,2011-06-10,2,0,6,0,4,1,1,0.5316,0.5045,0.6724,0.19,772,2264,3036
162,2011-06-11,2,0,6,0,5,0,1,0.6389,0.5667,0.4893,0.5325,868,1744,2612
163,2011-06-12,2,0,6,0,6,0,1,0.6096,0.6127,0.554,0.0683,760,1960,2720
164,2011-06-13,2,0,6,0,0,1,1,0.5628,0.5389,0.6767,0.3399,695,2240,2935
165,2011-06-14,2,0,6,0,1,1,2,0.5503,0.5169,0.6862,0.4289,806,2215,3021
166,2011-06-15,2,0,6,0,2,1,2,0.5455,0.5409,0.4399,0.1718,844,2855,3699
167,2011-06-16,2,0,6,0,3,1,1,0.5958,0.5531,0.4191,0.3149,901,2162,3063
168,2011-06-17,2,0,6,0,4,1,1,0.6081,0.6094,0.6285,0.2205,706,2272,2978
169,2011-06-18,2,0,6,0,5,0,2,0.6415,0.6128,0.5533,0.4289,698,1900,2598
170,2011-06-19,2,0,6,0,6,0,1,0.6235,0.6449,0.5895,0.1332,578,1643,2221
171,2011-06-20,2,0,6,0,0,1,3,0.6075,0.5515,0.5624,0.095,680,1945,2625
172,2011-06-21,2,0,6,0,1,1,1,0.6107,0.605,0.1659,0.1051,860,2627,3487
173,2011-06-22,2,0,6,0,2,1,1,0.4264,0.3889,0.5838,0.3298,850,2503,3353
174,2011-06-23,2,0,6,0,3,1,1,0.6519,0.6741,0.3393,0.3502,698,2535,3233
175,2011-06-24,2,0,6,0,4,1,1,0.5488,0.5692,0.3854,0.3464,857,2391,3248
176,2011-06-25,2,0,6,0,5,0,2,0.673,0.6214,0.4026,0.4006,676,1544,2220
177,2011-06-26,2,0,6,0,6,0,1,0.6402,0.7,0.671,0.3082,905,1910,2815
178,2011-06-27,2,0,6,0,0,1,1,0.535,0.4984,0.5121,0.0203,793,2087,2880
179,2011-06-28,2,0,6,0,1,1,1,0.6227,0.6495,0.3806,0.248,855,2574,3429
180,2011-06-29,2,0,6,0,2,1,1,0.6188,0.6431,0.342,0.3398,792,2804,3596
181,2011-06-30,2,0,6,0,3,1,1,0.5566,0.5405,0.3295,0.1492,843,2468,3311
182,2011-07-01,3,0,7,0,4,1,2,0.5518,0.536,0.6567,0.089,907,2782,3689
183,2011-07-02,3,0,7,0,5,0,1,0.6516,0.6067,0.6515,0.2367,848,2043,2891
184,2011-07-03,3,0,7,0,6,0,1,0.6414,0.6789,0.5174,0.5625,834,2067,2901
185,2011-07-04,3,0,7,0,0,1,2,0.6027,0.5959,0.5337,0.0776,855,2553,3408
186,2011-07-05,3,0,7,1,1,0,1,0.5823,0.588,0.3444,0.2735,864,2214,3078
187,2011-07-06,3,0,7,0,2,1,1,0.5949,0.5714,0.2614,0.1892,862,2648,3510
188,2011-07-07,3,0,7,0,3,1,1,0.6374,0.6578,0.3469,0.223,872,2781,3653
189,2011-07-08,3,0,7,0,4,1,1,0.5986,0.5584,0.7622,0.3854,773,2399,3172
190,2011-07-09,3,0,7,0,5,0,1,0.5657,0.5509,0.7203,0.1573,775,1810,2585
191,2011-07-10,3,0,7,0,6,0,1,0.5161,0.4826,0.7177,0.4784,668,1859,2527
192,2011-07-11,3,0,7,0,0,1,2,0.567,0.5601,0.5764,0.25,940,2296,3236
193,2011-07-12,3,0,7,0,1,1,1,0.5171,0.5332,0.2996,0.1599,825,2312,3137
194,2011-07-13,3,0,7,0,2,1,1,0.5521,0.6249,0.5652,0.1708,779,2466,3245
195,2011-07-14,3,0,7,0,3,1,1,0.6208,0.6525,0.6616,0.1801,760,2482,3242
196,2011-07-15,3,0,7,0,4,1,1,0.5262,0.552,0.8167,0.3071,840,2330,3170
197,2011-07-16,3,0,7,0,5,0,1,0.6287,0.6327,0.5025,0.1396,883,1871,2754
198,2011-07-17,3,0,7,0,6,0,2,0.5316,0.5303,0.5392,0.3859,849,1733,2582
199,2011-07-18,3,0,7,0,0,1,1,0.5126,0.492,0.5317,0.557,914,2350,3264
200,2011-07-19,3,0,7,0,1,1,1,0.6422,0.6559,0.5693,0.2609,917,2792,3709
201,2011-07-20,3,0,7,0,2,1,2,0.5843,0.5908,0.4105,0.4195,797,2143,2940
202,2011-07-21,3,0,7,0,3,1,1,0.5161,0.505,0.4951,0.1827,760,2499,3259
203,2011-07-22,3,0,7,0,4,1,2,0.5714,0.5698,0.2287,0.0955,930,2754,3684
204,2011-07-23,3,0,7,0,5,0,1,0.6045,0.6123,0.4901,0.2843,889,2032,2921
205,2011-07-24,3,0,7,0,6,0,1,0.6,0.5913,0.3752,0.5395,806,2086,2892
206,2011-07-25,3,0,7,0,0,1,1,0.5366,0.5691,0.2243,0.2618,988,3022,4010
207,2011-07-26,3,0,7,0,1,1,1,0.6549,0.6402,0.3928,0.1911,936,2768,3704
208,2011-07-27,3,0,7,0,2,1,1,0.6464,0.705,0.3795,0.1636,868,2706,3574
209,2011-07-28,3,0,7,0,3,1,2,0.5062,0.5174,0.2824,0.2297,904,1991,2895
210,2011-07-29,3,0,7,0,4,1,1,0.5509,0.5625,0.6987,0.5318,757,2560,3317
211,2011-07-30,3,0,7,0,5,0,2,0.5582,0.5645,0.2942,0.2998,799,1980,2779
212,2011-07-31,3,0,7,0,6,0,3,0.5819,0.5758,0.4887,0.3278,678,1678,2356
213,2011-08-01,3,0,8,0,0,1,1,0.4559,0.4385,0.7604,0.1841,673,2186,2859
214,2011-08-02,3,0,8,0,1,1,1,0.4891,0.4946,0.8567,0.6349,789,2329,3118
215,2011-08-03,3,0,8,0,2,1,1,0.5021,0.5513,0.5454,0.4333,711,2403,3114
216,2011-08-04,3,0,8,0,3,1,1,0.4713,0.5087,0.5251,0.4824,946,2620,3566
217,2011-08-05,3,0,8,0,4,1,1,0.4133,0.4332,0.1754,0.0848,836,2634,3470
218,2011-08-06,3,0,8,0,5,0,3,0.4655,0.4323,0.5884,0.4006,767,2041,2808
219,2011-08-07,3,0,8,0,6,0,1,0.457,0.4731,0.4913,0.369,913,2070,2983
220,2011-08-08,3,0,8,0,0,1,2,0.4384,0.3712,0.2372,0.0656,804,2173,2977
221,2011-08-09,3,0,8,0,1,1,1,0.4761,0.5027,0.4211,0.4707,693,2165,2858
222,2011-08-10,3,0,8,0,2,1,1,0.4303,0.4178,0.2364,0.1326,732,2299,3031
223,2011-08-11,3,0,8,0,3,1,1,0.5517,0.5558,0.5677,0.3206,794,2187,2981
224,2011-08-12,3,0,8,0,4,1,1,0.5017,0.528,0.7624,0.1386,763,2142,2905
225,2011-08-13,3,0,8,0,5,0,1,0.4202,0.4292,0.4398,0.6071,926,2190,3116
226,2011-08-14,3,0,8,0,6,0,1,0.51,0.4815,0.6993,0.4111,856,1770,2626
227,2011-08-15,3,0,8,0,0,1,1,0.4865,0.5378,0.727,0.1151,839,2463,3302
228,2011-08-16,3,0,8,0,1,1,3,0.5376,0.5455,0.6547,0.3459,756,2737,3493
229,2011-08-17,3,0,8,0,2,1,1,0.4824,0.4621,0.344,0.3592,838,2785,3623
230,2011-08-18,3,0,8,0,3,1,1,0.4042,0.4238,0.1884,0.0346,712,2257,2969
231,2011-08-19,3,0,8,0,4,1,1,0.4324,0.4189,0.5072,0.294,820,2468,3288
232,2011-08-20,3,0,8,0,5,0,1,0.4737,0.4582,0.3926,0.4631,818,2079,2897
233,2011-08-21,3,0,8,0,6,0,1,0.4994,0.5208,0.2105,0.3794,900,1727,2627
234,2011-08-22,3,0,8,0,0,1,2,0.4667,0.4463,0.4966,0.1188,747,2592,3339
235,2011-08-23,3,0,8,0,1,1,3,0.4622,0.469,0.424,0.1024,749,2175,2924
236,2011-08-24,3,0,8,0,2,1,1,0.4634,0.4983,0.6039,0.8789,803,2580,3383
237,2011-08-25,3,0,8,0,3,1,1,0.4404,0.4716,0.4237,0.1892,763,2472,3235
238,2011-08-26,3,0,8,0,4,1,3,0.4972,0.4626,0.5418,0.2434,700,2034,2734
239,2011-08-27,3,0,8,0,5,0,1,0.4922,0.507,0.5294,0.2805,828,1943,2771
240,2011-08-28,3,0,8,0,6,0,1,0.4922,0.49,0.252,0.1731,935,2168,3103
241,2011-08-29,3,0,8,0,0,1,1,0.5078,0.5044,0.3219,0.3458,712,2396,3108
242,2011-08-30,3,0,8,0,1,1,1,0.5054,0.5269,0.4997,0.6203,899,2923,3822
243,2011-08-31,3,0,8,0,2,1,1,0.4181,0.388,0.331,0.1298,874,2913,3787
244,2011-09-01,3,0,9,0,3,1,2,0.3312,0.325,0.448,0.4348,648,2215,2863
