instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
488,2012-05-02,2,1,5,0,2,1,1,0.4952,0.4879,0.2422,0.1698,819,3433,4252
489,2012-05-03,2,1,5,0,3,1,1,0.568,0.5809,0.6392,0.0821,898,3104,4002
490,2012-05-04,2,1,5,0,4,1,1,0.6529,0.6258,0.7942,0.4581,857,3570,4427
491,2012-05-05,2,1,5,0,5,0,2,0.5845,0.587,0.7574,0.2258,1040,2899,3939
492,2012-05-06,2,1,5,0,6,0,1,0.5596,0.5744,0.4473,0.0498,903,2392,3295
493,2012-05-07,2,1,5,0,0,1,3,0.5557,0.5252,0.2381,0.0905,846,3130,3976
494,2012-05-08,2,1,5,0,1,1,1,0.4967,0.5202,0.4411,0.1277,745,3195,3940
495,2012-05-09,2,1,5,0,2,1,1,0.6235,0.5882,0.7639,0.3789,767,3148,3915
496,2012-05-10,2,1,5,0,3,1,1,0.5492,0.5651,0.6966,0.5581,745,3074,3819
497,2012-05-11,2,1,5,0,4,1,1,0.5523,0.5749,0.1854,0.0779,778,3248,4026
498,2012-05-12,2,1,5,0,5,0,2,0.5881,0.5573,0.7526,0.1003,966,2660,3626
499,2012-05-13,2,1,5,0,6,0,1,0.569,0.5752,0.644,0.6637,1071,2712,3783
500,2012-05-14,2,1,5,0,0,1,1,0.6515,0.6411,0.3958,0.0455,849,3300,4149
501,2012-05-15,2,1,5,0,1,1,1,0.5554,0.5574,0.4928,0.2256,684,2284,2968
502,2012-05-16,2,1,5,0,2,1,1,0.6448,0.6566,0.6936,0.3339,808,3374,4182
503,2012-05-17,2,1,5,0,3,1,2,0.6274,0.6418,0.6802,0.2055,940,3179,4119
504,2012-05-18,2,1,5,0,4,1,2,0.4974,0.5041,0.4742,0.3642,740,3643,4383
505,2012-05-19,2,1,5,0,5,0,2,0.6438,0.6174,0.7777,0.1668,782,2875,3657
506,2012-05-20,2,1,5,0,6,0,1,0.5911,0.5613,0.377,0.6349,1003,2944,3947
507,2012-05-21,2,1,5,0,0,1,1,0.6488,0.6718,0.7798,0.5324,740,2869,3609
508,2012-05-22,2,1,5,0,1,1,1,0.512,0.5077,0.6096,0.2009,760,3100,3860
509,2012-05-23,2,1,5,0,2,1,1,0.5496,0.5376,0.694,0.2915,855,3167,4022
510,2012-05-24,2,1,5,0,3,1,1,0.5995,0.632,0.6205,0.4311,829,3312,4141
511,2012-05-25,2,1,5,0,4,1,2,0.5907,0.6167,0.1965,0.0715,853,3333,4186
512,2012-05-26,2,1,5,0,5,0,1,0.5737,0.5712,0.4831,0.0672,837,2609,3446
513,2012-05-27,2,1,5,0,6,0,1,0.577,0.5244,0.3365,0.1904,913,2885,3798
514,2012-05-28,2,1,5,1,0,0,3,0.5625,0.5865,0.3588,0.7635,954,2724,3678
515,2012-05-29,2,1,5,0,1,1,1,0.5786,0.6216,0.6319,0.1885,907,3596,4503
516,2012-05-30,2,1,5,0,2,1,1,0.6371,0.639,0.5267,0.3787,801,3298,4099
517,2012-05-31,2,1,5,0,3,1,2,0.5907,0.6151,0.4478,0.3506,679,2876,3555
518,2012-06-01,2,1,6,0,4,1,2,0.6102,0.5954,0.5701,0.2981,879,3550,4429
519,2012-06-02,2,1,6,0,5,0,2,0.68,0.7046,0.3111,0.7167,1034,3112,4146
520,2012-06-03,2,1,6,0,6,0,1,0.6839,0.6592,0.7295,0.2585,833,2617,3450
521,2012-06-04,2,1,6,0,0,1,2,0.6357,0.665,0.5714,0.0745,751,3199,3950
522,2012-06-05,2,1,6,0,1,1,1,0.6131,0.562,0.4488,0.2195,770,2953,3723
523,2012-06-06,2,1,6,0,2,1,1,0.4837,0.4248,0.1286,0.2996,701,3181,3882
524,2012-06-07,2,1,6,0,3,1,1,0.5568,0.5441,0.3516,0.1628,756,2819,3575
525,2012-06-08,2,1,6,0,4,1,1,0.594,0.6501,0.3947,0.2919,911,3851,4762
526,2012-06-09,2,1,6,0,5,0,1,0.6847,0.6856,0.4065,0.571,967,2730,3697
527,2012-06-10,2,1,6,0,6,0,1,0.6176,0.6504,0.3046,0.2729,837,2331,3168
528,2012-06-11,2,1,6,0,0,1,1,0.4901,0.4636,0.4706,0.358,787,3201,3988
529,2012-06-12,2,1,6,0,1,1,1,0.6008,0.5635,0.5982,0.3902,866,3237,4103
530,2012-06-13,2,1,6,0,2,1,1,0.6286,0.6465,0.5904,0.5355,827,3402,4229
531,2012-06-14,2,1,6,0,3,1,2,0.5797,0.6117,0.3953,0.341,875,2972,3847
532,2012-06-15,2,1,6,0,4,1,1,0.5863,0.5842,0.382,0.0677,867,3448,4315
533,2012-06-16,2,1,6,0,5,0,2,0.6646,0.6261,0.406,0.1891,909,2892,3801
534,2012-06-17,2,1,6,0,6,0,1,0.5197,0.4898,0.2225,0.2055,967,2702,3669
535,2012-06-18,2,1,6,0,0,1,1,0.6115,0.6152,0.239,0.1959,783,3241,4024
536,2012-06-19,2,1,6,0,1,1,1,0.5653,0.6058,0.5899,0.4449,792,3170,3962
537,2012-06-20,2,1,6,0,2,1,1,0.6205,0.5792,0.4471,0.3368,778,3208,3986
538,2012-06-21,2,1,6,0,3,1,1,0.5998,0.6234,0.2918,0.2872,972,3698,4670
539,2012-06-22,2,1,6,0,4,1,1,0.6219,0.6317,0.9262,0.2053,815,3347,4162
540,2012-06-23,2,1,6,0,5,0,1,0.6817,0.6408,0.3305,0.5309,850,2930,3780
541,2012-06-24,2,1,6,0,6,0,2,0.59,0.6031,0.4888,0.0514,795,2344,3139
542,2012-06-25,2,1,6,0,0,1,2,0.5316,0.5631,0.862,0.3307,888,3742,4630
543,2012-06-26,2,1,6,0,1,1,1,0.5223,0.5423,0.5811,0.2723,967,3494,4461
544,2012-06-27,2,1,6,0,2,1,2,0.6014,0.6182,0.6734,0.5946,809,3312,4121
545,2012-06-28,2,1,6,0,3,1,2,0.6999,0.6704,0.4643,0.0481,788,2930,3718
546,2012-06-29,2,1,6,0,4,1,1,0.6544,0.5833,0.7651,0.1468,852,3690,4542
547,2012-06-30,2,1,6,0,5,0,1,0.5851,0.5355,0.5359,0.457,865,2880,3745
548,2012-07-01,3,1,7,0,6,0,1,0.5318,0.516,0.8102,0.2699,1133,3052,4185
549,2012-07-02,3,1,7,0,0,1,2,0.6059,0.6338,0.566,0.1001,888,3053,3941
550,2012-07-03,3,1,7,0,1,1,2,0.5274,0.56,0.3807,0.0631,900,3488,4388
551,2012-07-04,3,1,7,1,2,0,1,0.5766,0.5796,0.5666,0.0871,940,2721,3661
552,2012-07-05,3,1,7,0,3,1,1,0.6453,0.668,0.3488,0.4814,862,3198,4060
553,2012-07-06,3,1,7,0,4,1,1,0.5708,0.5373,0.1476,0.7136,867,3494,4361
554,2012-07-07,3,1,7,0,5,0,2,0.6069,0.6011,0.5618,0.2843,828,2654,3482
555,2012-07-08,3,1,7,0,6,0,1,0.5489,0.5698,0.4253,0.1687,1063,3230,4293
556,2012-07-09,3,1,7,0,0,1,3,0.6718,0.6355,0.5865,0.3505,797,3248,4045
557,2012-07-10,3,1,7,0,1,1,2,0.4662,0.4717,0.348,0.2435,859,3694,4553
558,2012-07-11,3,1,7,0,2,1,2,0.6508,0.6409,0.4932,0.0726,950,3326,4276
559,2012-07-12,3,1,7,0,3,1,1,0.6097,0.5909,0.5487,0.514,791,3312,4103
560,2012-07-13,3,1,7,0,4,1,1,0.6655,0.6677,0.5671,0.1922,999,4073,5072
561,2012-07-14,3,1,7,0,5,0,1,0.5268,0.5375,0.2867,0.1185,991,3202,4193
562,2012-07-15,3,1,7,0,6,0,1,0.6557,0.7238,0.5578,0.2641,1077,3183,4260
563,2012-07-16,3,1,7,0,0,1,2,0.5364,0.5229,0.2553,0.077,799,3096,3895
564,2012-07-17,3,1,7,0,1,1,1,0.5026,0.494,0.5655,0.1261,832,3834,4666
565,2012-07-18,3,1,7,0,2,1,1,0.5443,0.5582,0.5252,0.3165,823,3405,4228
566,2012-07-19,3,1,7,0,3,1,2,0.5771,0.6361,0.3425,0.2266,878,3525,4403
567,2012-07-20,3,1,7,0,4,1,2,0.6157,0.6086,0.7717,0.417,885,3094,3979
568,2012-07-21,3,1,7,0,5,0,1,0.4149,0.3809,0.7052,0.326,985,2771,3756
569,2012-07-22,3,1,7,0,6,0,2,0.5624,0.5328,0.6019,0.383,986,2910,3896
570,2012-07-23,3,1,7,0,0,1,2,0.6136,0.6507,0.4053,0.0918,772,3109,3881
571,2012-07-24,3,1,7,0,1,1,1,0.5182,0.5536,0.6858,0.3458,923,3616,4539
572,2012-07-25,3,1,7,0,2,1,1,0.511,0.5081,0.6677,0.3282,852,3521,4373
573,2012-07-26,3,1,7,0,3,1,1,0.6079,0.5625,0.7874,0.4681,889,3586,4475
574,2012-07-27,3,1,7,0,4,1,2,0.4918,0.5144,0.6174,0.2382,797,3090,3887
575,2012-07-28,3,1,7,0,5,0,1,0.5598,0.5189,0.3495,0.3406,1018,3056,4074
576,2012-07-29,3,1,7,0,6,0,2,0.596,0.5514,0.3781,0.5952,951,2730,3681
577,2012-07-30,3,1,7,0,0,1,1,0.636,0.6755,0.6814,0.3435,852,3793,4645
578,2012-07-31,3,1,7,0,1,1,2,0.6161,0.59,0.4913,0.2477,788,3120,3908
579,2012-08-01,3,1,8,0,2,1,1,0.4776,0.5217,0.6121,0.573,841,3320,4161
580,2012-08-02,3,1,8,0,3,1,1,0.5003,0.536,0.7419,0.2277,865,3381,4246
581,2012-08-03,3,1,8,0,4,1,2,0.4625,0.4224,0.562,0.6314,776,3134,3910
582,2012-08-04,3,1,8,0,5,0,2,0.4909,0.4639,0.428,0.4556,1026,2669,3695
583,2012-08-05,3,1,8,0,6,0,2,0.5969,0.622,0.5344,0.4667,932,3052,3984
584,2012-08-06,3,1,8,0,0,1,1,0.54,0.5721,0.3238,0.1886,1024,3556,4580
585,2012-08-07,3,1,8,0,1,1,3,0.4757,0.4526,0.7683,0.1959,691,2941,3632
586,2012-08-08,3,1,8,0,2,1,2,0.416,0.4616,0.2143,0.4353,753,3221,3974
587,2012-08-09,3,1,8,0,3,1,1,0.3725,0.352,0.3109,0.4261,787,3375,4162
588,2012-08-10,3,1,8,0,4,1,1,0.513,0.5428,0.6598,0.2019,990,3951,4941
589,2012-08-11,3,1,8,0,5,0,2,0.4184,0.4451,0.5371,0.1934,930,2560,3490
590,2012-08-12,3,1,8,0,6,0,3,0.4344,0.4444,0.2795,0.4233,983,3245,4228
591,2012-08-13,3,1,8,0,0,1,4,0.3719,0.421,0.1976,0.1573,688,2857,3545
592,2012-08-14,3,1,8,0,1,1,1,0.4578,0.4581,0.727,0.0619,825,3435,4260
593,2012-08-15,3,1,8,0,2,1,2,0.5692,0.5911,0.7479,0.2123,887,3773,4660
594,2012-08-16,3,1,8,0,3,1,2,0.5153,0.5493,0.6747,0.4699,863,3717,4580
595,2012-08-17,3,1,8,0,4,1,3,0.4898,0.521,0.2717,0.215,895,3444,4339
596,2012-08-18,3,1,8,0,5,0,1,0.4732,0.4454,0.3669,0.3241,845,2636,3481
597,2012-08-19,3,1,8,0,6,0,1,0.546,0.5213,0.1419,0.3403,979,3233,4212
598,2012-08-20,3,1,8,0,0,1,1,0.5215,0.5504,0.7326,0.1427,871,3299,4170
599,2012-08-21,3,1,8,0,1,1,1,0.425,0.4908,0.3407,0.1852,830,3397,4227
600,2012-08-22,3,1,8,0,2,1,2,0.4259,0.4367,0.7092,0.4012,857,2930,3787
601,2012-08-23,3,1,8,0,3,1,1,0.4407,0.4253,0.717,0.5192,979,3344,4323
602,2012-08-24,3,1,8,0,4,1,1,0.501,0.4835,0.555,0.2937,967,3696,4663
603,2012-08-25,3,1,8,0,5,0,2,0.3803,0.3992,0.342,0.2224,968,2735,3703
604,2012-08-26,3,1,8,0,6,0,1,0.4118,0.4235,0.2441,0.3367,945,2904,3849
605,2012-08-27,3,1,8,0,0,1,1,0.4565,0.4493,0.4752,0.2421,915,3550,4465
606,2012-08-28,3,1,8,0,1,1,1,0.46,0.4328,0.5618,0.3199,886,3728,4614
607,2012-08-29,3,1,8,0,2,1,2,0.5095,0.4346,0.2662,0.1629,805,3461,4266
608,2012-08-30,3,1,8,0,3,1,2,0.5308,0.5601,0.4445,0.5449,888,3425,4313
609,2012-08-31,3,1,8,0,4,1,2,0.4493,0.4492,0.5707,0.2146,893,3629,4522
610,2012-09-01,3,1,9,0,5,0,2,0.262,0.2423,0.4183,0.3459,840,2655,3495
611,2012-09-02,3,1,9,0,6,0,1,0.3043,0.3038,0.3786,0.365,1014,2809,3823
612,2012-09-03,3,1,9,0,0,1,2,0.4048,0.3836,0.6232,0.4584,920,3419,4339
613,2012-09-04,3,1,9,0,1,1,2,0.4076,0.4095,0.6235,0.0985,933,3374,4307
614,2012-09-05,3,1,9,1,2,0,1,0.467,0.4127,0.2675,0.2056,1039,3430,4469
615,2012-09-06,3,1,9,0,3,1,1,0.408,0.3614,0.2242,0.2318,850,3242,4092
616,2012-09-07,3,1,9,0,4,1,1,0.3563,0.3089,0.5472,0.4296,876,3413,4289
617,2012-09-08,3,1,9,0,5,0,1,0.3328,0.3359,0.4686,0.0214,949,2891,3840
618,2012-09-09,3,1,9,0,6,0,1,0.3932,0.381,0.6576,0.4701,866,2781,3647
619,2012-09-10,3,1,9,0,0,1,3,0.3055,0.3187,0.3676,0.1668,877,3340,4217
620,2012-09-11,3,1,9,0,1,1,2,0.3482,0.3306,0.3944,0.3226,980,3972,4952
621,2012-09-12,3,1,9,0,2,1,1,0.4031,0.3504,0.3606,0.1308,847,2987,3834
622,2012-09-13,3,1,9,0,3,1,1,0.3288,0.3248,0.4564,0.3092,855,3293,4148
623,2012-09-14,3,1,9,0,4,1,1,0.4815,0.4543,0.6237,0.0659,914,3534,4448
624,2012-09-15,3,1,9,0,5,0,1,0.3156,0.3392,0.3827,0.1058,772,2879,3651
625,2012-09-16,3,1,9,0,6,0,1,0.3894,0.4418,0.6078,0.5557,907,2930,3837
626,2012-09-17,3,1,9,0,0,1,1,0.2688,0.3072,0.4025,0.0931,933,3470,4403
627,2012-09-18,3,1,9,0,1,1,2,0.3929,0.3907,0.3102,0.3506,769,4160,4929
628,2012-09-19,3,1,9,0,2,1,1,0.3119,0.297,0.5303,0.3764,870,3574,4444
629,2012-09-20,3,1,9,0,3,1,1,0.3946,0.4391,0.1187,0.14,893,3900,4793
630,2012-09-21,3,1,9,0,4,1,2,0.2806,0.2538,0.1202,0.31,891,3156,4047
631,2012-09-22,3,1,9,0,5,0,3,0.4505,0.4453,0.6533,0.2201,881,2620,3501
632,2012-09-23,3,1,9,0,6,0,1,0.4085,0.3921,0.6539,0.4033,916,2749,3665
633,2012-09-24,3,1,9,0,0,1,2,0.3126,0.2901,0.5666,0.3215,922,3154,4076
634,2012-09-25,3,1,9,0,1,1,1,0.4014,0.3824,0.6101,0.2029,940,4198,5138
635,2012-09-26,3,1,9,0,2,1,1,0.3442,0.3707,0.5248,0.2774,989,3831,4820
636,2012-09-27,3,1,9,0,3,1,3,0.3564,0.3387,0.351,0.1341,846,3394,4240
637,2012-09-28,3,1,9,0,4,1,2,0.3445,0.3197,0.3014,0.0743,853,3429,4282
638,2012-09-29,3,1,9,0,5,0,1,0.3894,0.4032,0.594,0.1446,985,2712,3697
639,2012-09-30,3,1,9,0,6,0,1,0.363,0.3033,0.529,0.4247,1102,3301,4403
640,2012-10-01,4,1,10,0,0,1,1,0.1856,0.1919,0.3388,0.1784,750,2872,3622
641,2012-10-02,4,1,10,0,1,1,2,0.2795,0.2679,0.3104,0.3119,676,2527,3203
642,2012-10-03,4,1,10,0,2,1,3,0.2746,0.2882,0.3053,0.1125,683,2677,3360
643,2012-10-04,4,1,10,0,3,1,1,0.2663,0.294,0.4697,0.5478,836,2773,3609
644,2012-10-05,4,1,10,0,4,1,1,0.1672,0.2434,0.8227,0.5142,630,2722,3352
645,2012-10-06,4,1,10,0,5,0,1,0.2412,0.2233,0.4443,0.422,688,2053,2741
646,2012-10-07,4,1,10,0,6,0,3,0.3131,0.3079,0.4115,0.3943,660,2209,2869
647,2012-10-08,4,1,10,0,0,1,2,0.2185,0.1919,0.3442,0.099,703,2783,3486
648,2012-10-09,4,1,10,0,1,1,1,0.1551,0.1965,0.4826,0.4426,650,2639,3289
649,2012-10-10,4,1,10,1,2,0,1,0.2611,0.3275,0.3471,0.3153,927,2602,3529
650,2012-10-11,4,1,10,0,3,1,1,0.1861,0.2224,0.483,0.4421,574,2778,3352
651,2012-10-12,4,1,10,0,4,1,2,0.3466,0.3055,0.3809,0.2832,678,2846,3524
652,2012-10-13,4,1,10,0,5,0,1,0.2825,0.2637,0.6672,0.2712,693,2200,2893
653,2012-10-14,4,1,10,0,6,0,1,0.1997,0.2141,0.6918,0.2318,747,2172,2919
654,2012-10-15,4,1,10,0,0,1,1,0.2445,0.2225,0.4445,0.0671,618,2903,3521
655,2012-10-16,4,1,10,0,1,1,2,0.2485,0.238,0.5964,0.2284,647,3180,3827
656,2012-10-17,4,1,10,0,2,1,1,0.1916,0.2184,0.6244,0.3336,648,2607,3255
657,2012-10-18,4,1,10,0,3,1,1,0.3067,0.3119,0.3745,0.3166,671,2838,3509
658,2012-10-19,4,1,10,0,4,1,1,0.2421,0.3172,0.4466,0.6594,659,2733,3392
659,2012-10-20,4,1,10,0,5,0,1,0.1264,0.1448,0.7004,0.0892,929,2905,3834
660,2012-10-21,4,1,10,0,6,0,1,0.1756,0.1519,0.4022,0.0978,642,2166,2808
661,2012-10-22,4,1,10,0,0,1,2,0.2275,0.2217,0.2461,0.1929,692,2563,3255
662,2012-10-23,4,1,10,0,1,1,2,0.2776,0.3119,0.7412,0.2459,611,2875,3486
663,2012-10-24,4,1,10,0,2,1,1,0.2669,0.269,0.3386,0.5354,660,2625,3285
664,2012-10-25,4,1,10,0,3,1,2,0.2777,0.2881,0.621,0.0862,663,2883,3546
665,2012-10-26,4,1,10,0,4,1,3,0.2182,0.2444,0.5144,0.3872,684,2574,3258
666,2012-10-27,4,1,10,0,5,0,1,0.2328,0.2318,0.7258,0.2252,726,2532,3258
667,2012-10-28,4,1,10,0,6,0,2,0.2446,0.288,0.528,0.1873,733,2487,3220
668,2012-10-29,4,1,10,0,0,1,3,0.1408,0.1565,0.3894,0.0369,718,2612,3330
669,2012-10-30,4,1,10,0,1,1,1,0.1925,0.1806,0.5678,0.4118,732,2858,3590
670,2012-10-31,4,1,10,0,2,1,1,0.1228,0.1492,0.5224,0.3184,735,2567,3302
671,2012-11-01,4,1,11,0,3,1,2,0.2264,0.1732,0.6429,0.2997,772,2849,3621
672,2012-11-02,4,1,11,0,4,1,2,0.0253,0.0032,0.5309,0.5025,772,2847,3619
673,2012-11-03,4,1,11,0,5,0,1,0.1153,0.176,0.6394,0.0401,768,2389,3157
674,2012-11-04,4,1,11,0,6,0,2,0.0822,0.0578,0.4453,0.4458,664,1972,2636
675,2012-11-05,4,1,11,0,0,1,3,0.1515,0.1563,0.5299,0.0701,612,2473,3085
676,2012-11-06,4,1,11,0,1,1,1,0.1489,0.1343,0.4451,0.0689,700,2791,3491
677,2012-11-07,4,1,11,1,2,0,1,0.1819,0.2199,0.6513,0.1679,777,2344,3121
678,2012-11-08,4,1,11,0,3,1,3,0.1012,0.0884,0.3906,0.2117,565,2447,3012
679,2012-11-09,4,1,11,0,4,1,1,0.1379,0.1549,0.587,0.0689,735,2842,3577
680,2012-11-10,4,1,11,0,5,0,1,0.1748,0.1671,0.4991,0.5668,675,2133,2808
681,2012-11-11,4,1,11,0,6,0,1,0.0908,0.0781,0.291,0.4077,517,1980,2497
682,2012-11-12,4,1,11,0,0,1,1,0.1323,0.1241,0.6435,0.4644,688,2629,3317
683,2012-11-13,4,1,11,0,1,1,3,0.1732,0.1435,0.6965,0.4159,538,2223,2761
684,2012-11-14,4,1,11,0,2,1,2,0.096,0.1114,0.2199,0.1356,725,2647,3372
685,2012-11-15,4,1,11,0,3,1,2,0.1185,0.1385,0.2933,0.1839,715,2567,3282
686,2012-11-16,4,1,11,0,4,1,1,0.1703,0.1512,0.6019,0.0786,806,2757,3563
687,2012-11-17,4,1,11,0,5,0,1,0.1821,0.1815,0.4589,0.0899,716,1855,2571
688,2012-11-18,4,1,11,0,6,0,1,0.1844,0.1806,0.6517,0.1278,688,2074,2762
689,2012-11-19,4,1,11,0,0,1,1,0.0899,0.084,0.386,0.2041,721,2745,3466
690,2012-11-20,4,1,11,0,1,1,1,0.0642,0.0608,0.5144,0.1154,511,2722,3233
691,2012-11-21,4,1,11,0,2,1,2,0.131,0.1437,0.3426,0.2108,673,2730,3403
692,2012-11-22,4,1,11,0,3,1,1,0.196,0.1603,0.3069,0.5913,700,2557,3257
693,2012-11-23,4,1,11,0,4,1,1,0.1917,0.2533,0.8251,0.0915,767,2684,3451
694,2012-11-24,4,1,11,0,5,0,1,0.1009,0.103,0.3817,0.4296,682,1977,2659
695,2012-11-25,4,1,11,0,6,0,2,0.2044,0.1834,0.2062,0.255,722,2269,2991
696,2012-11-26,4,1,11,0,0,1,2,0.148,0.2035,0.5916,0.0525,706,2984,3690
697,2012-11-27,4,1,11,0,1,1,1,0.1499,0.0684,0.4357,0.3296,775,3040,3815
698,2012-11-28,4,1,11,0,2,1,2,0.1392,0.0935,0.307,0.3119,677,2649,3326
699,2012-11-29,4,1,11,0,3,1,1,0.1805,0.1591,0.6621,0.2539,821,2853,3674
700,2012-11-30,4,1,11,0,4,1,1,0.2218,0.242,0.6445,0.3636,817,2999,3816
701,2012-12-01,4,1,12,0,5,0,1,0.076,0.112,0.3123,0.4123,753,2063,2816
702,2012-12-02,4,1,12,0,6,0,1,0.0442,0.0416,0.5862,0.2738,881,2479,3360
703,2012-12-03,4,1,12,0,0,1,1,0.1085,0.1075,0.3406,0.2925,725,2551,3276
704,2012-12-04,4,1,12,0,1,1,1,0.107,0.1144,0.5117,0.1596,799,2923,3722
705,2012-12-05,4,1,12,0,2,1,2,0.0794,0.063,0.5441,0.2192,655,2546,3201
706,2012-12-06,4,1,12,0,3,1,2,0.1599,0.176,0.3036,0.4126,718,2679,3397
707,2012-12-07,4,1,12,0,4,1,3,0.1529,0.1617,0.6244,0.1715,597,2481,3078
708,2012-12-08,4,1,12,0,5,0,1,0.1562,0.0984,0.7099,0.3935,764,1893,2657
709,2012-12-09,4,1,12,0,6,0,1,0.1674,0.1947,0.5236,0.388,647,2348,2995
710,2012-12-10,4,1,12,0,0,1,2,0.1018,0.1024,0.5775,0.2329,706,2945,3651
711,2012-12-11,4,1,12,0,1,1,3,0.063,0.0514,0.6029,0.4638,653,2259,2912
712,2012-12-12,4,1,12,0,2,1,1,0.1244,0.1568,0.6272,0.2249,642,2643,3285
713,2012-12-13,4,1,12,0,3,1,1,0.2362,0.2544,0.6673,0.0766,578,2624,3202
714,2012-12-14,4,1,12,0,4,1,2,0.0713,0.0723,0.4804,0.1001,743,2791,3534
715,2012-12-15,4,1,12,0,5,0,2,0.119,0.1654,0.6372,0.2903,744,2104,2848
716,2012-12-16,4,1,12,0,6,0,1,0.0499,0.0402,0.6402,0.4743,613,2375,2988
717,2012-12-17,4,1,12,0,0,1,2,0.0,0.0,0.4759,0.5969,499,2080,2579
718,2012-12-18,4,1,12,0,1,1,2,0.1224,0.1415,0.4791,0.2352,707,2853,3560
719,2012-12-19,4,1,12,0,2,1,1,0.0816,0.0483,0.6257,0.1418,719,2666,3385
720,2012-12-20,4,1,12,0,3,1,2,0.0145,0.0178,0.42,0.4533,651,3305,3956
721,2012-12-21,4,1,12,0,4,1,2,0.0866,0.0733,0.4303,0.1029,738,2673,3411
722,2012-12-22,4,1,12,0,5,0,1,0.0782,0.0491,0.7065,0.3214,706,2267,2973
723,2012-12-23,4,1,12,0,6,0,1,0.1081,0.1542,0.4053,0.4162,710,2057,2767
724,2012-12-24,4,1,12,0,0,1,1,0.1184,0.1614,0.271,0.5434,719,3411,4130
725,2012-12-25,4,1,12,1,1,0,2,0.1522,0.1558,0.2787,0.4966,861,2633,3494
726,2012-12-26,4,1,12,0,2,1,3,0.0589,0.0459,0.4197,0.0536,671,2539,3210
727,2012-12-27,4,1,12,0,3,1,3,0.1183,0.1593,0.5418,0.4332,678,2569,3247
728,2012-12-28,4,1,12,0,4,1,1,0.1124,0.1678,0.5321,0.1818,662,2993,3655
729,2012-12-29,4,1,12,0,5,0,1,0.1186,0.1358,0.229,0.1202,617,2193,2810
730,2012-12-30,4,1,12,0,6,0,2,0.0991,0.1226,0.4374,0.2008,860,2517,3377
731,2012-12-31,4,1,12,0,0,1,1,0.0908,0.1009,0.7799,0.5349,772,2829,3601
